pos:C,name:Carlton Fisk,age:25,games:135,plate_appearances:558,at_bats:508,runs:65,hits:125,doubles:21,triples:0,home_runs:26,runs_batted_in:71,stolen_bases:7,caught_stealing:2,walks:37,strikeouts:99,batting_avg:.246,onbase:.309,slugging:.441,ops:erc">.441,ops+:lugging">.750,bases:224,double_plays:11,hit_by_pitch:10,sac_hits:1,sac_flies:2,intentional_walks:2
pos:1B,name:Carl Yastrzemski,age:33,games:152,plate_appearances:652,at_bats:540,runs:82,hits:160,doubles:25,triples:4,home_runs:19,runs_batted_in:95,stolen_bases:9,caught_stealing:7,walks:105,strikeouts:58,batting_avg:.296,onbase:.407,slugging:.463,ops:erc">.463,ops+:lugging">.870,bases:250,double_plays:19,hit_by_pitch:0,sac_hits:1,sac_flies:6,intentional_walks:13
pos:2B,name:Doug Griffin,age:26,games:113,plate_appearances:439,at_bats:396,runs:43,hits:101,doubles:14,triples:5,home_runs:1,runs_batted_in:33,stolen_bases:7,caught_stealing:5,walks:21,strikeouts:42,batting_avg:.255,onbase:.293,slugging:.323,ops:erc">.323,ops+:lugging">.617,bases:128,double_plays:12,hit_by_pitch:3,sac_hits:13,sac_flies:6,intentional_walks:0
pos:SS,name:Luis Aparicio,age:39,games:132,plate_appearances:561,at_bats:499,runs:56,hits:135,doubles:17,triples:1,home_runs:0,runs_batted_in:49,stolen_bases:13,caught_stealing:1,walks:43,strikeouts:33,batting_avg:.271,onbase:.324,slugging:.309,ops:erc">.309,ops+:lugging">.633,bases:154,double_plays:12,hit_by_pitch:0,sac_hits:12,sac_flies:7,intentional_walks:1
pos:3B,name:Rico Petrocelli,age:30,games:100,plate_appearances:407,at_bats:356,runs:44,hits:87,doubles:13,triples:1,home_runs:13,runs_batted_in:45,stolen_bases:0,caught_stealing:0,walks:47,strikeouts:64,batting_avg:.244,onbase:.333,slugging:.396,ops:erc">.396,ops+:lugging">.729,bases:141,double_plays:10,hit_by_pitch:1,sac_hits:1,sac_flies:2,intentional_walks:3
pos:LF,name:Tommy Harper,age:32,games:147,plate_appearances:638,at_bats:566,runs:92,hits:159,doubles:23,triples:3,home_runs:17,runs_batted_in:71,stolen_bases:54,caught_stealing:14,walks:61,strikeouts:93,batting_avg:.281,onbase:.351,slugging:.422,ops:erc">.422,ops+:lugging">.774,bases:239,double_plays:6,hit_by_pitch:1,sac_hits:9,sac_flies:1,intentional_walks:2
pos:CF,name:Reggie Smith,age:28,games:115,plate_appearances:495,at_bats:423,runs:79,hits:128,doubles:23,triples:2,home_runs:21,runs_batted_in:69,stolen_bases:3,caught_stealing:2,walks:68,strikeouts:49,batting_avg:.303,onbase:.398,slugging:.515,ops:erc">.515,ops+:lugging">.913,bases:218,double_plays:11,hit_by_pitch:1,sac_hits:0,sac_flies:3,intentional_walks:7
pos:RF,name:Dwight Evans,age:21,games:119,plate_appearances:328,at_bats:282,runs:46,hits:63,doubles:13,triples:1,home_runs:10,runs_batted_in:32,stolen_bases:5,caught_stealing:0,walks:40,strikeouts:52,batting_avg:.223,onbase:.320,slugging:.383,ops:erc">.383,ops+:lugging">.703,bases:108,double_plays:8,hit_by_pitch:1,sac_hits:3,sac_flies:2,intentional_walks:2
pos:DH,name:Orlando Cepeda,age:35,games:142,plate_appearances:608,at_bats:550,runs:51,hits:159,doubles:25,triples:0,home_runs:20,runs_batted_in:86,stolen_bases:0,caught_stealing:2,walks:50,strikeouts:81,batting_avg:.289,onbase:.350,slugging:.444,ops:erc">.444,ops+:lugging">.793,bases:244,double_plays:24,hit_by_pitch:3,sac_hits:2,sac_flies:3,intentional_walks:13
pos:OF,name:Rick Miller,age:25,games:143,plate_appearances:503,at_bats:441,runs:65,hits:115,doubles:17,triples:7,home_runs:6,runs_batted_in:43,stolen_bases:12,caught_stealing:7,walks:51,strikeouts:59,batting_avg:.261,onbase:.339,slugging:.372,ops:erc">.372,ops+:lugging">.711,bases:164,double_plays:6,hit_by_pitch:3,sac_hits:4,sac_flies:4,intentional_walks:2
pos:MI,name:Mario Guerrero,age:23,games:66,plate_appearances:233,at_bats:219,runs:19,hits:51,doubles:5,triples:2,home_runs:0,runs_batted_in:11,stolen_bases:2,caught_stealing:2,walks:10,strikeouts:21,batting_avg:.233,onbase:.272,slugging:.274,ops:erc">.274,ops+:lugging">.546,bases:60,double_plays:5,hit_by_pitch:2,sac_hits:1,sac_flies:1,intentional_walks:0
pos:CI,name:Danny Cater,age:33,games:63,plate_appearances:208,at_bats:195,runs:30,hits:61,doubles:12,triples:0,home_runs:1,runs_batted_in:24,stolen_bases:0,caught_stealing:0,walks:10,strikeouts:22,batting_avg:.313,onbase:.348,slugging:.390,ops:erc">.390,ops+:lugging">.738,bases:76,double_plays:6,hit_by_pitch:1,sac_hits:1,sac_flies:1,intentional_walks:1
pos:IF,name:John Kennedy,age:32,games:67,plate_appearances:174,at_bats:155,runs:17,hits:28,doubles:9,triples:1,home_runs:1,runs_batted_in:16,stolen_bases:0,caught_stealing:0,walks:12,strikeouts:45,batting_avg:.181,onbase:.246,slugging:.271,ops:erc">.271,ops+:lugging">.517,bases:42,double_plays:3,hit_by_pitch:2,sac_hits:3,sac_flies:2,intentional_walks:0
pos:RF,name:Ben Oglivie,age:24,games:58,plate_appearances:161,at_bats:147,runs:16,hits:32,doubles:9,triples:1,home_runs:2,runs_batted_in:9,stolen_bases:1,caught_stealing:1,walks:9,strikeouts:32,batting_avg:.218,onbase:.269,slugging:.333,ops:erc">.333,ops+:lugging">.602,bases:49,double_plays:4,hit_by_pitch:2,sac_hits:1,sac_flies:2,intentional_walks:2
pos:C,name:Bob Montgomery,age:29,games:34,plate_appearances:137,at_bats:128,runs:18,hits:41,doubles:6,triples:2,home_runs:7,runs_batted_in:25,stolen_bases:0,caught_stealing:0,walks:7,strikeouts:36,batting_avg:.320,onbase:.353,slugging:.563,ops:erc">.563,ops+:lugging">.915,bases:72,double_plays:5,hit_by_pitch:0,sac_hits:1,sac_flies:1,intentional_walks:0
pos:1B,name:Cecil Cooper,age:23,games:30,plate_appearances:109,at_bats:101,runs:12,hits:24,doubles:2,triples:0,home_runs:3,runs_batted_in:11,stolen_bases:1,caught_stealing:2,walks:7,strikeouts:12,batting_avg:.238,onbase:.284,slugging:.347,ops:erc">.347,ops+:lugging">.631,bases:35,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:1,intentional_walks:1
pos:IF,name:Buddy Hunter,age:25,games:13,plate_appearances:12,at_bats:7,runs:3,hits:3,doubles:1,triples:0,home_runs:0,runs_batted_in:2,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:1,batting_avg:.429,onbase:.636,slugging:.571,ops:erc">.571,ops+:lugging">1.208,bases:4,double_plays:0,hit_by_pitch:1,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Marty Pattin,age:30,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bobby Bolin,age:34,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Luis Tiant,age:32,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ken Tatum,age:29,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Ray Culp,age:31,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Craig Skok,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Don Newhauser,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Lynn McGlothen,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bob Veale,age:37,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Bill Lee,age:26,games:1,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Mike Garman,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Sonny Siebert,age:36,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Roger Moret,age:23,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:John Curtis,age:25,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Dick Pole,age:22,games:0,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
